,aces,break_point_opp_loss,break_point_opp_total,doubfts,first_serve_in,first_serves_won,rt_games_total,service_games,svpt_total,total_brk_faced,total_brk_saved,ace_pct,df_pct,first_serve_won_pct,broken_pct,breaking_pct,break_conversion_pct,win_pct_grass,win_pct_clay,win_pct_hard,Left_hand_win_pct,right_hand_win_pct
Abdullah Maqdas,5,23,32,4,247,149,46,46,316,33,19,0.015822785,0.012658228,0.603238866,0.304347826,0.195652174,0.28125,0,0,0,0,0
Adam Hornby,2,2,3,7,53,30,13,13,82,11,4,0.024390244,0.085365854,0.566037736,0.538461538,0.076923077,0.333333333,0,0,0,0,0
Adam Pavlasek,45,17,32,23,292,197,49,48,497,58,28,0.09054326,0.046277666,0.674657534,0.625,0.306122449,0.46875,0.5,0,0,0,0.166666667
Aditya Hari Sasongko,3,3,4,3,53,32,13,13,79,14,8,0.037974684,0.037974684,0.603773585,0.461538462,0.076923077,0.25,0,0,0,0,0
Adrian Mannarino,246,242,432,143,2809,1930,588,586,4667,390,226,0.052710521,0.030640669,0.687077252,0.279863481,0.323129252,0.439814815,0.615384615,0.333333333,0.56097561,0.555555556,0.549019608
Adrian Menendez Maceiras,30,27,41,10,295,206,48,46,484,36,16,0.061983471,0.020661157,0.698305085,0.434782609,0.291666667,0.341463415,0.5,0,0.333333333,0,0.2
Adrian Ungur,7,10,18,4,164,106,37,37,250,22,15,0.028,0.016,0.646341463,0.189189189,0.216216216,0.444444444,0,0,0,0,0.5
Adrien Bossel,3,0,0,2,42,30,11,10,76,10,8,0.039473684,0.026315789,0.714285714,0.2,0,0,0,0,0,0,0
Agustin Velotti,8,7,9,1,37,26,14,13,75,3,1,0.106666667,0.013333333,0.702702703,0.153846154,0.142857143,0.222222222,0,0,0,0,0
Aisam Ul Haq Qureshi,64,19,34,20,172,151,51,53,297,11,8,0.215488215,0.067340067,0.877906977,0.056603774,0.294117647,0.441176471,0.5,0,1,0,0.5
Akira Santillan,40,17,33,20,235,168,69,72,441,30,13,0.090702948,0.045351474,0.714893617,0.236111111,0.231884058,0.484848485,0.5,0,0.25,0,0.285714286
Albert Montanes,3,6,11,4,70,45,18,18,131,20,13,0.022900763,0.030534351,0.642857143,0.388888889,0.277777778,0.454545455,0,0.5,0,0,1
Albert Ramos,303,314,517,170,3508,2391,703,695,5721,488,300,0.052962769,0.029715085,0.681584949,0.270503597,0.288762447,0.392649903,0.5,0.628571429,0.384615385,0.5,0.518518519
Alberto Emmanuel Alvarado Larin,1,6,12,6,129,58,26,24,177,35,18,0.005649718,0.033898305,0.449612403,0.708333333,0.230769231,0.5,0,0,0,0,0
Alberto Lim,12,15,29,15,220,135,52,52,335,35,18,0.035820896,0.044776119,0.613636364,0.326923077,0.269230769,0.482758621,0,0,0,0,0
Aldin Setkic,1,0,0,3,30,10,8,7,52,16,12,0.019230769,0.057692308,0.333333333,0.571428571,0,0,0,0,0,0,0
Alejandro Falla,2,11,18,4,81,51,20,19,137,17,10,0.01459854,0.02919708,0.62962963,0.368421053,0.35,0.388888889,0,0.5,0,0.5,0
Alejandro Gonzalez,6,3,7,11,93,55,25,25,161,18,7,0.037267081,0.068322981,0.591397849,0.44,0.16,0.571428571,0,0,0,0,0
Aleksandr Nedovyesov,9,1,4,4,47,32,13,13,77,8,3,0.116883117,0.051948052,0.680851064,0.384615385,0.230769231,0.75,0,0,0,0,0
Alessandro Bega,4,5,7,3,47,33,12,12,70,5,1,0.057142857,0.042857143,0.70212766,0.333333333,0.166666667,0.285714286,0,0,0,0,0
Alessandro Giannessi,66,72,110,57,868,567,168,170,1329,148,98,0.0496614,0.042889391,0.653225806,0.294117647,0.226190476,0.345454545,0,0.555555556,0.166666667,0.5,0.333333333
Alex Bolt,25,11,15,7,98,66,27,26,162,14,5,0.154320988,0.043209877,0.673469388,0.346153846,0.148148148,0.266666667,0,0,0,0,0
Alex De Minaur,22,26,37,27,357,225,65,64,583,69,36,0.037735849,0.046312178,0.630252101,0.515625,0.169230769,0.297297297,0,0,0.333333333,0.5,0.2
Alexandar Lazarov,1,5,7,5,29,17,10,10,54,4,0,0.018518519,0.092592593,0.586206897,0.4,0.2,0.285714286,0,0,0,0,0
Alexander Bublik,84,27,42,37,283,212,65,66,488,41,20,0.172131148,0.075819672,0.749116608,0.318181818,0.230769231,0.357142857,0,0,0.6,1,0.4
Alexander Merino,2,0,0,3,24,14,8,7,43,7,3,0.046511628,0.069767442,0.583333333,0.571428571,0,0,0,0,0,0,0
Alexander Ward,3,1,2,5,68,43,0,0,103,15,9,0.029126214,0.048543689,0.632352941,inf,inf,0.5,0,0,0,0,0
Alexander Zverev,648,273,497,274,3899,2907,839,850,6104,414,267,0.106159895,0.044888598,0.745575789,0.172941176,0.266984505,0.450704225,0.75,0.8,0.666666667,0.6,0.731343284
Alexandr Dolgopolov,318,167,277,138,2047,1524,461,469,3637,274,164,0.087434699,0.03794336,0.744504152,0.234541578,0.238611714,0.397111913,0.333333333,0.631578947,0.481481481,0.4,0.564102564
Alexandre Muller,4,9,16,5,94,64,0,0,162,20,13,0.024691358,0.030864198,0.680851064,inf,inf,0.4375,0,0,0,0,0
Alexios Halebian,6,6,6,1,34,23,10,9,56,5,3,0.107142857,0.017857143,0.676470588,0.222222222,0,0,0,0,0,0,0
Aljaz Bedene,293,159,255,75,1659,1246,350,349,2798,204,116,0.104717655,0.026804861,0.751054852,0.252148997,0.274285714,0.376470588,0.666666667,0.6,0.375,0.25,0.53125
Altug Celikbilek,11,6,10,3,96,65,26,26,164,14,8,0.067073171,0.018292683,0.677083333,0.230769231,0.153846154,0.4,0,0,0,0,0
Amine Ahouda,3,8,12,10,113,74,33,31,201,17,8,0.014925373,0.049751244,0.654867257,0.290322581,0.121212121,0.333333333,0,0.5,0,0,0.333333333
Andreas Haider Maurer,16,4,5,17,119,72,8,9,225,32,19,0.071111111,0.075555556,0.605042017,1.444444444,0.125,0.2,0,0,0,0,0
Andreas Seppi,275,141,246,96,1737,1274,403,403,3087,286,177,0.089083252,0.031098154,0.733448474,0.270471464,0.260545906,0.426829268,0.625,0.4,0.5,0.166666667,0.566666667
Andrej Martin,8,9,20,8,158,95,34,34,239,30,20,0.033472803,0.033472803,0.601265823,0.294117647,0.323529412,0.55,0,0.333333333,0,0,0.333333333
Andrew Whittington,32,14,22,24,189,148,33,34,342,26,19,0.093567251,0.070175439,0.783068783,0.205882353,0.242424242,0.363636364,0,0,0.5,0,0.5
Andrey Kuznetsov,177,162,251,107,1613,1163,384,377,2811,237,135,0.062966916,0.038064746,0.721016739,0.270557029,0.231770833,0.354581673,0,0.529411765,0.294117647,0.571428571,0.357142857
Andrey Rublev,168,144,260,129,1746,1215,309,303,3002,289,174,0.055962692,0.042971352,0.695876289,0.379537954,0.375404531,0.446153846,0.6,0.625,0.476190476,0.25,0.551724138
Andy Murray,201,164,314,98,1796,1296,279,286,3018,226,126,0.066600398,0.032471836,0.721603563,0.34965035,0.537634409,0.477707006,0.666666667,0.642857143,0.8,0.75,0.703703704
Anil Yuksel,2,2,5,4,90,54,23,22,163,18,9,0.012269939,0.024539877,0.6,0.409090909,0.130434783,0.6,0,0,0,0,0
Anoosha Shahgholi,1,1,1,2,59,33,12,11,76,13,7,0.013157895,0.026315789,0.559322034,0.545454545,0,0,0,0,0,0,0
Ante Pavic,7,5,6,7,47,35,14,13,90,17,12,0.077777778,0.077777778,0.744680851,0.384615385,0.071428571,0.166666667,0,0,0,0,0
Anthony Susanto,3,6,9,6,36,21,11,10,71,9,3,0.042253521,0.084507042,0.583333333,0.6,0.272727273,0.333333333,0,0,0,0,0
Antoine Bellier,4,3,6,7,66,43,21,19,128,14,7,0.03125,0.0546875,0.651515152,0.368421053,0.142857143,0.5,0,0,0,0,0
Antso Rakotondramanga,23,5,9,5,122,90,30,31,197,5,3,0.116751269,0.025380711,0.737704918,0.064516129,0.133333333,0.444444444,0,0,0,0,0
Aqeel Khan,22,12,27,16,192,151,51,52,333,33,25,0.066066066,0.048048048,0.786458333,0.153846154,0.294117647,0.555555556,1,0,1,0,1
Artem Sitak,4,0,0,2,31,23,9,9,56,6,3,0.071428571,0.035714286,0.741935484,0.333333333,0,0,0,0,0,0,0
Artem Smirnov,7,7,16,3,200,120,41,41,313,33,20,0.022364217,0.009584665,0.6,0.317073171,0.219512195,0.5625,0,0,0,0,0
Arthur De Greef,25,25,37,18,366,242,78,76,590,64,39,0.042372881,0.030508475,0.661202186,0.328947368,0.153846154,0.324324324,0,0.25,0.333333333,0,0.285714286
Arturs Lazdins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attila Balazs,10,28,40,19,258,155,63,64,425,43,21,0.023529412,0.044705882,0.600775194,0.34375,0.19047619,0.3,0,0.333333333,0,0,0.333333333
August Holmgren,6,5,7,5,55,38,12,12,89,8,7,0.06741573,0.056179775,0.690909091,0.083333333,0.166666667,0.285714286,0,0,1,0,1
Austin Krajicek,9,3,4,1,72,56,17,16,95,3,1,0.094736842,0.010526316,0.777777778,0.125,0.058823529,0.25,0,0,0,0,0
Ayed Zatar,8,9,16,5,115,75,29,29,194,16,7,0.041237113,0.025773196,0.652173913,0.310344828,0.24137931,0.4375,0,0,0,1,0
Aziz Dougaz,9,13,19,22,215,144,48,46,347,41,30,0.025936599,0.063400576,0.669767442,0.239130435,0.125,0.315789474,0,0,0,0,0
Benjamin Becker,16,8,12,14,103,73,30,30,178,14,4,0.08988764,0.078651685,0.708737864,0.333333333,0.133333333,0.333333333,0,0,0,0,0
Benjamin Bonzi,6,12,18,6,105,68,0,0,188,28,18,0.031914894,0.031914894,0.647619048,inf,inf,0.333333333,0,0.5,0,0,1
Benjamin Hannestad,1,4,7,4,69,36,15,15,115,16,9,0.008695652,0.034782609,0.52173913,0.466666667,0.2,0.428571429,0,0,0,0,0
Benoit Paire,515,232,405,287,2529,1911,604,609,4786,453,275,0.107605516,0.059966569,0.755634638,0.29228243,0.286423841,0.427160494,0.666666667,0.444444444,0.485714286,0.375,0.518518519
Bernard Tomic,201,78,125,54,1532,1071,303,311,2299,183,108,0.087429317,0.023488473,0.699086162,0.241157556,0.155115512,0.376,0.5,0.375,0.230769231,0.4,0.333333333
Bjorn Fratangelo,91,60,108,72,959,649,195,192,1665,147,85,0.054654655,0.043243243,0.676746611,0.322916667,0.246153846,0.444444444,0.75,0.333333333,0.333333333,0,0.571428571
Blake Mott,7,0,1,3,49,31,14,14,78,8,3,0.08974359,0.038461538,0.632653061,0.357142857,0.071428571,1,0,0,0,0,0
Blaz Kavcic,9,30,46,25,173,115,30,30,320,49,30,0.028125,0.078125,0.664739884,0.633333333,0.533333333,0.347826087,0,0,0,0,0.333333333
Borna Coric,280,172,275,119,2390,1699,481,475,3836,302,204,0.072992701,0.031021898,0.710878661,0.206315789,0.214137214,0.374545455,0,0.6,0.413793103,0.5,0.428571429
Brayden Schnur,29,31,39,17,243,165,55,54,374,33,22,0.077540107,0.045454545,0.679012346,0.203703704,0.145454545,0.205128205,0,0,0,0,0
Bruno Britez,6,10,15,6,109,70,21,22,140,26,19,0.042857143,0.042857143,0.642201835,0.318181818,0.238095238,0.333333333,0,0,0,0,0.5
Brydan Klein,31,12,19,20,182,139,38,36,321,27,14,0.096573209,0.062305296,0.763736264,0.361111111,0.184210526,0.368421053,0,0,0.333333333,0.5,0
Calvin Hemery,3,2,2,4,45,32,11,10,76,10,8,0.039473684,0.052631579,0.711111111,0.2,0,0,0,0,0,0,0
Cameron Norrie,25,18,25,24,241,155,29,27,417,42,21,0.059952038,0.057553957,0.643153527,0.777777778,0.24137931,0.28,0.25,0,0.5,1,0.2
Carlos Berlocq,101,131,226,93,1680,1100,379,380,2740,295,170,0.036861314,0.033941606,0.654761905,0.328947368,0.250659631,0.420353982,0.25,0.391304348,0.5,0.375,0.4
Casper Ruud,60,60,96,38,814,552,186,186,1225,113,75,0.048979592,0.031020408,0.678132678,0.204301075,0.193548387,0.375,0,0.5,0.2,0.333333333,0.416666667
Cedrik Marcel Stebe,44,68,122,36,603,378,110,114,977,114,61,0.045035824,0.036847492,0.626865672,0.464912281,0.490909091,0.442622951,0,0.571428571,0.4,0,0.545454545
Cem Ilkel,33,26,43,15,346,241,88,85,598,56,37,0.055183946,0.025083612,0.696531792,0.223529412,0.193181818,0.395348837,0,0,0,0,0.2
Christian Garin,40,29,50,24,282,197,56,56,484,33,18,0.082644628,0.049586777,0.69858156,0.267857143,0.375,0.42,0,0.5,1,0,0.5
Christian Harrison,6,3,6,5,51,32,16,16,102,20,9,0.058823529,0.049019608,0.62745098,0.6875,0.1875,0.5,0,0,0,0,0
Christian Lindell,13,20,31,5,107,82,27,28,163,7,3,0.079754601,0.030674847,0.76635514,0.142857143,0.407407407,0.35483871,0,1,0,1,1
Christopher Diaz Figueroa,18,33,51,25,237,163,62,61,432,52,36,0.041666667,0.05787037,0.687763713,0.262295082,0.290322581,0.352941176,0,0,0.5,0,0
Christopher Eubanks,35,8,13,25,260,178,48,46,407,37,23,0.085995086,0.061425061,0.684615385,0.304347826,0.104166667,0.384615385,0,0,0.4,0,0.4
Christopher Oconnell,8,14,15,7,130,84,29,30,210,24,16,0.038095238,0.033333333,0.646153846,0.266666667,0.034482759,0.066666667,0,0,0,0,0
Damir Dzumhur,166,252,493,202,3144,2088,679,665,4933,508,302,0.033650922,0.040948713,0.664122137,0.309774436,0.354933726,0.488843813,0.5,0.222222222,0.68,0.666666667,0.6
Daniel Altmaier,40,13,20,15,239,176,62,60,402,34,21,0.099502488,0.037313433,0.736401674,0.216666667,0.112903226,0.35,0.666666667,0,0,0,0.5
Daniel Brands,35,15,22,26,268,187,46,45,412,41,27,0.084951456,0.063106796,0.697761194,0.311111111,0.152173913,0.318181818,0,0,0.5,0,0.25
Daniel Cukierman,1,1,1,5,30,15,7,7,46,7,2,0.02173913,0.108695652,0.5,0.714285714,0,0,0,0,0,0,0
Daniel Evans,110,98,177,76,1149,823,283,281,1915,169,96,0.057441253,0.039686684,0.716275022,0.259786477,0.279151943,0.446327684,0,0.333333333,0.625,0.714285714,0.444444444
Daniel Gimeno Traver,1,0,0,2,13,7,3,2,16,2,1,0.0625,0.125,0.538461538,0.5,0,0,0,0,0,0,0
Daniel Masur,8,2,3,6,88,63,23,22,138,14,9,0.057971014,0.043478261,0.715909091,0.227272727,0.043478261,0.333333333,0,0,0,0,0
Daniil Medvedev,337,172,286,181,2264,1615,498,491,3746,353,226,0.089962627,0.048318206,0.713339223,0.258655804,0.228915663,0.398601399,0.666666667,0,0.483870968,0.333333333,0.512820513
Darian King,28,72,129,28,668,441,136,136,1036,103,65,0.027027027,0.027027027,0.660179641,0.279411765,0.419117647,0.441860465,0,0,0.636363636,0,0.636363636
David Agung Susanto,6,6,13,10,150,92,31,30,202,25,15,0.02970297,0.04950495,0.613333333,0.333333333,0.225806452,0.538461538,0,0,0,0,0.5
David Ferrer,118,248,398,209,2274,1587,482,484,3812,371,230,0.030954879,0.054826863,0.697889182,0.291322314,0.31120332,0.376884422,0.4,0.578947368,0.523809524,0.666666667,0.485714286
David Goffin,496,389,669,221,3824,2816,920,918,6611,537,350,0.075026471,0.033429133,0.736401674,0.203703704,0.304347826,0.418535127,0,0.695652174,0.716666667,0.692307692,0.710144928
Denis Istomin,305,135,213,61,1958,1419,390,395,2991,260,166,0.101972584,0.020394517,0.724719101,0.237974684,0.2,0.366197183,0,0.363636364,0.578947368,0,0.516129032
Denis Kudla,7,8,15,7,88,62,24,24,139,14,8,0.050359712,0.050359712,0.704545455,0.25,0.291666667,0.466666667,0.5,0,0,0,0.5
Denis Shapovalov,214,84,127,104,1166,870,238,240,2011,135,83,0.106414719,0.051715564,0.746140652,0.216666667,0.180672269,0.338582677,0.333333333,0,0.526315789,0.666666667,0.473684211
Dennis Novak,13,4,10,12,146,100,30,30,226,19,14,0.057522124,0.053097345,0.684931507,0.166666667,0.2,0.6,0,0,0.5,0,0.5
Dennis Novikov,43,10,20,14,174,128,48,49,319,26,18,0.134796238,0.043887147,0.735632184,0.163265306,0.208333333,0.5,0.5,0,0,0,0.4
Di Wu,19,11,18,11,283,192,71,71,455,44,23,0.041758242,0.024175824,0.67844523,0.295774648,0.098591549,0.388888889,0,0,0.25,0,0.166666667
Diego Sebastian Schwartzman,163,365,651,166,3157,2076,664,649,5163,512,288,0.031570792,0.03215185,0.657586316,0.345146379,0.430722892,0.439324117,0,0.586206897,0.611111111,0.888888889,0.526315789
Dimitar Kuzmanov,1,0,1,2,43,22,9,10,62,7,3,0.016129032,0.032258065,0.511627907,0.4,0.111111111,1,0,0,0,0,0
Dmitry Popko,15,14,21,3,201,138,46,47,294,16,8,0.051020408,0.010204082,0.686567164,0.170212766,0.152173913,0.333333333,0,1,0,0,0.666666667
Dmitry Tursunov,12,15,24,16,294,187,47,46,445,59,33,0.026966292,0.035955056,0.636054422,0.565217391,0.191489362,0.375,0,0,0.25,0,0.25
Dominic Thiem,453,348,582,226,3437,2570,707,711,5846,468,311,0.077488881,0.038658912,0.747745127,0.220815752,0.330975955,0.402061856,0.571428571,0.814814815,0.525,0.615384615,0.639344262
Dominik Koepfer,0,1,1,3,26,13,8,7,44,7,3,0,0.068181818,0.5,0.571428571,0,0,0,0,0,0,0
Donald Young,195,145,251,186,2289,1571,456,461,3764,360,222,0.051806589,0.049415515,0.686325907,0.299349241,0.23245614,0.422310757,0.625,0,0.558823529,0.4,0.525
Duck Hee Lee,3,7,9,6,69,49,20,20,138,8,4,0.02173913,0.043478261,0.710144928,0.2,0.1,0.222222222,0,0,0,0,0
Dudi Sela,73,107,192,78,1411,979,270,271,2228,193,111,0.032764811,0.035008977,0.69383416,0.302583026,0.314814815,0.442708333,0.666666667,0,0.458333333,0.5,0.416666667
Dusan Lajovic,130,133,231,58,2201,1499,425,432,3183,266,166,0.040841973,0.018221803,0.681054066,0.231481481,0.230588235,0.424242424,0.5,0.4,0.476190476,0.454545455,0.428571429
Dustin Brown,196,84,133,145,1284,913,278,275,2222,177,97,0.088208821,0.065256526,0.71105919,0.290909091,0.176258993,0.368421053,0.4,0.3,0.333333333,0.6,0.28
Dzmitry Zhyrmont,12,9,13,12,144,98,37,37,261,37,25,0.045977011,0.045977011,0.680555556,0.324324324,0.108108108,0.307692308,0,0,0,0,0
Edan Leshem,5,0,0,2,41,24,9,9,62,5,2,0.080645161,0.032258065,0.585365854,0.333333333,0,0,0,0,0,0,0
Eduardo Struvay,12,4,6,14,41,28,13,13,79,13,6,0.151898734,0.17721519,0.682926829,0.538461538,0.153846154,0.333333333,0,0,0,0,0
Eero Vasa,3,8,12,7,74,40,16,16,116,18,10,0.025862069,0.060344828,0.540540541,0.5,0.25,0.333333333,0,0,0,0,0
Egor Gerasimov,43,18,29,11,175,146,43,45,252,10,8,0.170634921,0.043650794,0.834285714,0.044444444,0.255813953,0.379310345,0,0,1,1,1
Elias Ymer,48,42,71,32,532,376,127,130,869,81,51,0.055235903,0.036823936,0.706766917,0.230769231,0.228346457,0.408450704,0,0.6,0.25,0,0.5
Emil Ruusuvuori,1,7,9,3,54,31,14,14,93,12,6,0.010752688,0.032258065,0.574074074,0.428571429,0.142857143,0.222222222,0,0,0,0,0
Emilio Gomez,24,21,35,24,245,178,63,63,411,32,17,0.058394161,0.058394161,0.726530612,0.238095238,0.222222222,0.4,0,0,0,0,0.5
Ernesto Escobedo,159,101,146,70,1151,809,258,265,2103,191,121,0.075606277,0.033285782,0.702867072,0.264150943,0.174418605,0.308219178,0.333333333,0.428571429,0.357142857,0.333333333,0.388888889
Ernests Gulbis,146,61,91,79,664,513,96,94,1212,105,71,0.120462046,0.065181518,0.772590361,0.361702128,0.3125,0.32967033,0.666666667,0.5,0.2,0.5,0.416666667
Evan King,7,12,21,8,161,104,26,26,250,19,9,0.028,0.032,0.645962733,0.384615385,0.346153846,0.428571429,0,0,0.333333333,0,0.333333333
Evgeny Donskoy,104,76,102,50,823,590,177,171,1448,113,63,0.071823204,0.034530387,0.716889429,0.292397661,0.146892655,0.254901961,0,0,0.384615385,0,0.263157895
Evgeny Tyurnev,6,5,6,3,22,14,8,8,43,6,1,0.139534884,0.069767442,0.636363636,0.625,0.125,0.166666667,0,0,0,0,0
Fabio Fognini,197,309,501,278,2827,1951,627,623,4828,455,272,0.040803645,0.057580779,0.690130881,0.293739968,0.306220096,0.383233533,0.666666667,0.592592593,0.620689655,0.583333333,0.604651163
Facundo Bagnis,88,47,71,64,793,544,166,169,1273,130,81,0.069128044,0.050274941,0.686002522,0.289940828,0.144578313,0.338028169,0,0.25,0.166666667,0,0.230769231
Federico Delbonis,60,84,138,65,956,659,225,225,1544,137,83,0.038860104,0.042098446,0.689330544,0.24,0.24,0.391304348,0,0.5,0.571428571,0,0.523809524
Federico Gaio,28,11,17,30,167,129,53,51,320,28,20,0.0875,0.09375,0.77245509,0.156862745,0.113207547,0.352941176,0,0.666666667,0,1,0.333333333
Federico Zeballos,1,5,15,5,49,28,13,14,89,10,5,0.011235955,0.056179775,0.571428571,0.357142857,0.769230769,0.666666667,0,0,0,0,0
Feliciano Lopez,520,202,310,139,2404,1848,517,521,4050,324,212,0.128395062,0.034320988,0.768718802,0.214971209,0.208897485,0.348387097,0.818181818,0.533333333,0.363636364,0.666666667,0.522727273
Fernando Verdasco,217,241,411,185,2891,2021,564,558,4231,375,228,0.051288112,0.043724888,0.699066067,0.26344086,0.30141844,0.413625304,0.25,0.588235294,0.545454545,0.272727273,0.604651163
Filip Krajinovic,54,17,36,14,381,279,89,91,569,30,17,0.094903339,0.024604569,0.732283465,0.142857143,0.213483146,0.527777778,0,0,0.714285714,0,0.714285714
Finn Tearney,6,9,14,9,97,55,26,25,171,25,14,0.035087719,0.052631579,0.567010309,0.44,0.192307692,0.357142857,0,0,0,0,0
Florian Mayer,113,81,132,45,1263,881,248,247,2086,206,138,0.054170662,0.021572387,0.697545527,0.275303644,0.205645161,0.386363636,0.5,0.5,0.111111111,0.333333333,0.375
Francis Tiafoe,194,99,161,74,1217,863,256,252,2074,147,77,0.093539055,0.035679846,0.709120789,0.277777778,0.2421875,0.385093168,0.333333333,0,0.315789474,0.5,0.272727273
Franco Skugor,62,35,50,19,464,323,116,114,738,59,35,0.08401084,0.025745257,0.69612069,0.210526316,0.129310345,0.3,0,0.333333333,0.333333333,0,0.285714286
Frank Dancevic,10,6,10,4,96,76,23,23,143,8,4,0.06993007,0.027972028,0.791666667,0.173913043,0.173913043,0.4,0.5,0,0,0,0.5
Frederico Ferreira Silva,6,7,20,3,92,62,25,24,139,12,6,0.043165468,0.021582734,0.673913043,0.25,0.52,0.65,0,0.5,0,0,0.5
Frederik Nielsen,23,22,52,26,346,253,91,94,568,46,33,0.040492958,0.045774648,0.731213873,0.138297872,0.32967033,0.576923077,0,0,0.75,0,0.75
Gael Monfils,310,174,296,137,1861,1345,306,305,2982,242,151,0.103957076,0.045942321,0.722729715,0.298360656,0.39869281,0.412162162,0.625,0.428571429,0.631578947,0.571428571,0.592592593
Gastao Elias,87,83,130,57,814,598,231,227,1540,145,84,0.056493506,0.037012987,0.734643735,0.268722467,0.203463203,0.361538462,0,0.454545455,0.166666667,0,0.384615385
Geoffrey Blancaneaux,3,3,3,9,39,21,0,0,72,12,5,0.041666667,0.125,0.538461538,inf,0,0,0,0,0,0,0
George Tsivadze,4,18,25,9,175,99,71,68,279,41,22,0.014336918,0.032258065,0.565714286,0.279411765,0.098591549,0.28,0,0,0,0,0
Gerald Melzer,81,65,112,45,946,631,217,216,1409,135,82,0.05748758,0.031937544,0.667019027,0.24537037,0.216589862,0.419642857,0,0.545454545,0.2,1,0.428571429
Gerardo Lopez Villasenor,10,10,12,11,73,48,21,21,142,14,8,0.070422535,0.077464789,0.657534247,0.285714286,0.095238095,0.166666667,0,0,0,0,0
